time,Coal,Gas,Hydro,Multiple Fuels,Nuclear,Oil,Other,Other Renewables,Solar,Storage,Wind,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,prelim_load_avg_hourly,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,system_energy_price_da,congestion_price_da,marginal_loss_price_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,total_lmp_da,0
0,21888.4,22844.7,212.6,525,30190,207.9,0,577.3,0,0,3366.2,1613.5,1722.8,1784.2,1764.2,1612.7,1441.6,1332.3,23.79,1.01,0.45,21.86,0.91,0.23,20.11,1.6,0.46,17.52,1.99,0.6,17.01,2.98,0.45,15.79,3.13,0.58,25.25,23,22.17,20.11,20.44,19.5,55033
1,19415.7,21018.3,211,674.9,30209.7,208.8,0,561.4,0,0,3646.1,1523.8,1657.1,1708,1681.1,1536.1,1400.5,1279.6,21.95,0.93,0.47,20.7,0.96,0.26,18.86,1.84,0.47,16.15,2.01,0.71,17.03,2.4,0.45,14.99,3.26,0.64,23.35,21.92,21.17,18.87,19.88,18.89,55033
2,17354.9,20280.2,209.9,635.6,30229.7,213.6,0,572.1,0,0,3800,1463.8,1584.6,1656,1622.5,1486.8,1386.8,1248.7,20.98,0.98,0.46,19.77,0.92,0.33,17.8,1.92,0.48,15.65,2.28,0.68,16.15,2.34,0.54,14.03,3.41,0.61,22.42,21.02,20.2,18.61,19.03,18.05,55033
3,16326.9,19672.6,210.7,468.2,30241.8,217.2,0,576.1,0,0,4121.3,1430.4,1549.9,1622.9,1590.6,1469.2,1389.6,1234.6,20.26,1.18,0.48,19.18,0.93,0.35,17.22,2,0.48,15.41,2.32,0.69,15.95,2.32,0.56,12.97,3.43,0.57,21.92,20.46,19.7,18.42,18.83,16.97,55033
4,15875.4,20153.1,225,397.3,30276,222,0,585.1,0,0,3724.1,1423.8,1581,1648,1602.1,1490.5,1425.2,1231.4,20.87,1.31,0.43,19.96,1.11,0.25,18.04,1.95,0.4,15.94,2.39,0.74,16.73,2.79,0.49,13.22,4.14,0.55,22.61,21.32,20.39,19.07,20.01,17.91,55033
5,16293.4,19977.1,237.2,464,30297.3,224.6,0,570.3,0,0,3843.4,1450,1688,1755.5,1702.4,1596.6,1541,1246.5,23.19,1.55,0.19,22.29,1.35,-0.06,20.82,1.86,0.26,18.66,2.53,0.5,19.6,3.13,0.63,13.7,4.11,0.58,24.93,23.58,22.94,21.69,23.36,18.39,55033
6,17369,20553.3,250.9,445.2,30287.5,225.8,0,553.2,0,0,4006.3,1515.2,1897.8,1966.2,1907.6,1800.8,1747.6,1291.8,29.58,2.41,0.24,27.19,1.53,-0.3,24.29,1.92,-0.16,23.61,2.59,0.21,24.44,2.73,0.79,14.29,3.93,0.6,32.23,28.42,26.05,26.41,27.96,18.82,55033
7,18326.7,21439.8,250,581.3,30335.9,225.7,0,557.2,1.1,0,4347.5,1597.5,2033.8,2112.8,2038.4,1928.3,1872.9,1339.8,29.21,2.13,0.1,29.25,1.41,-0.02,24.11,1.33,-0.03,23.69,1.73,0.27,23.99,2.12,0.85,15.32,3.29,0.73,31.44,30.64,25.41,25.69,26.96,19.34,55033
8,19227.7,22934.9,248,596.4,30343.3,222,0,557.7,117.2,0,4362.3,1670.4,2072.1,2131.8,2062.8,1948.9,1894.1,1413.1,29.33,2.21,0.12,29.16,1.34,0.04,24.22,1.58,0.02,24.28,1.63,0.24,24.64,2.72,0.89,17.58,3.13,0.62,31.66,30.54,25.82,26.15,28.25,21.33,55033
9,21457.5,24906.5,264.1,767.6,30316.1,222.5,0,550.2,319.4,0,4388.8,1763.8,2105.5,2164.2,2114.6,2001.2,1945.6,1476.9,31.66,2.11,0.15,31.39,1.22,-0.03,26.01,1.74,0.08,26.18,1.47,0.33,25.57,3.18,0.81,19.53,2.66,0.55,33.92,32.58,27.83,27.98,29.56,22.74,55033
10,22264.6,26055.7,283.3,765.8,30306.7,223.4,0,556.8,392.8,0,4758.1,1865.7,2140.4,2186.1,2179.3,2078.6,2008.8,1526.8,37.21,2.21,-0.13,33.33,1.4,0.08,28.76,2.02,-0.03,29.6,1.58,0.43,27.67,3.38,0.7,20.55,2.39,0.49,39.29,34.81,30.75,31.61,31.75,23.43,55033
11,23905,27902.8,387.8,983.6,30293.1,224.5,0,551.7,412.8,0,4808.4,1946.9,2150.3,2175.3,2260.1,2132,2043.3,1556.6,39.85,3.25,-0.25,36.48,1.3,0.16,30.23,2.23,0.09,31.3,1.69,0.54,29.26,3.53,0.67,21.03,2.51,0.56,42.85,37.94,32.55,33.53,33.46,24.1,55033
12,23885,30389.3,1234.9,857.8,30256.6,214.2,0,549.2,414,0,4816.4,2011.3,2175.6,2167.2,2322.2,2194.6,2102,1578.6,41.71,4.02,-0.37,40.49,1.52,-0.18,34.9,3.08,0.25,33.46,2.43,0.6,31.6,3.87,0.65,21.56,2.42,0.59,45.36,41.83,38.23,36.49,36.12,24.57,55033
13,25073.7,30938.5,1831.2,964.5,30241.2,181.7,0,547,414.2,0,4963.6,2062.5,2207.1,2173.7,2395.9,2260.3,2141.2,1584,43.98,3.34,-0.45,42.35,2.27,-0.01,37.01,3.21,0.06,36.36,1.71,0.8,35.13,5.03,0.7,21.82,2.44,0.63,46.87,44.61,40.28,38.87,40.86,24.89,55033
14,25688.5,31504.7,2914.1,928.4,30209.1,181.4,0,571,357.7,0,4791.7,2099.1,2199,2170.3,2391.8,2320.2,2163,1582.6,48.63,5.13,-0.8,44.47,3.38,-0.06,38.24,3.25,0.31,35.95,3.3,0.95,34.34,4.52,0.62,21.76,2.76,0.61,52.96,47.79,41.8,40.2,39.48,25.13,55033
15,26485.4,32056.7,3031,991.6,30205.5,178.6,0,564.9,295.5,0,4521.1,2132.3,2176.4,2146.4,2372.9,2353.8,2170.2,1599.5,50.52,5.23,-0.93,45.96,2.7,-0.01,39.8,3.06,0.43,36.43,3.4,0.97,34.62,4.74,0.6,22.06,2.79,0.62,54.82,48.65,43.29,40.8,39.96,25.47,55033
16,26671.9,32592.6,3977.4,990.3,30204.3,179.3,0,553.8,245.1,0,4531.3,2150.1,2162.4,2134.3,2359.1,2387.4,2180.8,1636.8,51.95,7.28,-0.94,52.21,3.3,0.06,44.39,3.12,0.4,40.66,2.67,1.1,34.81,4.05,0.61,22.69,3.03,0.66,58.29,55.57,47.91,44.43,39.47,26.38,55033
17,26396.4,32516.5,3587.2,966.8,30213.8,179,0,568.5,74.1,0,4517.1,2123.2,2122,2126.8,2346.5,2397.2,2195.1,1672.7,48.01,5.07,-0.88,47.78,2.91,0.11,40.86,3.01,0.33,38.82,2.54,0.93,33.17,4.26,0.56,23.33,2.86,0.65,52.2,50.8,44.2,42.29,37.99,26.84,55033
18,25962,31832.2,2679.5,896.7,30224.5,176.5,0,562.3,0,0,4583.7,2083.2,2080.3,2116.9,2327.4,2359,2165.5,1675.9,41.79,3.16,-0.8,44.59,1.91,0.07,37.4,2.64,0.17,37.6,1.39,0.76,32.43,2.79,0.44,23.99,2.64,0.62,44.15,46.57,40.21,39.75,35.66,27.25,55033
19,26458.2,32546.7,3271.1,995.9,30231.3,175.9,0,571.7,0,0,4909.9,2093.6,2088.5,2154.1,2333.1,2361.1,2158.7,1731.1,42.85,3.37,-0.98,52.39,2.06,-0.21,40.01,2.28,-0.15,39.84,0.56,0.63,34.9,2.5,0.32,29.58,2.51,0.64,45.24,54.24,42.14,41.03,37.72,32.73,55033
20,26112.1,31842.6,1991.7,902.7,30237.6,176.6,0,560.8,0,0,4981.1,2063.2,2064.8,2154.7,2308.8,2339,2138.5,1756.3,40.51,3.64,-0.46,41.38,2.29,0.04,35.8,3.24,0.22,37.47,1.23,0.71,30.25,2.94,0.57,25.81,2.58,0.62,43.69,43.71,39.26,39.41,33.76,29.01,55033
21,27043.7,29831.6,806,929.1,30234.7,172.7,0,580.6,0,0,4744.1,2000.3,1988.7,2067,2197.8,2208.1,2015.8,1683.8,32.15,2.09,-0.26,34.16,1.31,0.3,28.59,2.14,0.24,28.26,1.2,0.45,25.64,2.77,0.45,22.67,2.37,0.65,33.98,35.77,30.97,29.91,28.86,25.69,55033
22,26070.6,26767.1,209.3,859.4,30249.3,174,0,558.5,0,0,5189.9,1865.9,1866.6,1908.4,2043.6,2038.5,1859.1,1585,26.46,2.1,-0.03,27.42,1.11,0.22,23.23,1.77,0.2,22.4,1.46,0.32,21.75,2.17,0.54,19.87,2.39,0.74,28.53,28.75,25.2,24.18,24.46,23,55033
23,25525,25967.7,206,552.9,30243.8,173.1,0,566.6,0,0,5225.2,1718.9,1734,1788.4,1894.5,1886.6,1719.4,1505.9,24.24,1.95,-0.12,23.94,0.95,0.05,21.67,1.68,0.13,21.49,0.88,0.42,20.81,2.05,0.61,16.44,2.28,0.54,26.07,24.94,23.48,22.79,23.47,19.26,55033
0,23897,22550.4,206.7,766.3,30254.9,172.1,0,561.1,0,0,4608.9,1605.8,1613.5,1722.8,1784.2,1764.2,1612.7,1441.6,24.67,1.82,0.15,23.79,1.01,0.45,21.86,0.91,0.23,20.11,1.6,0.46,17.52,1.99,0.6,17.01,2.98,0.45,26.64,25.25,23,22.17,20.11,20.44,53802
1,21648.5,21079.6,207.2,737.1,30242.7,174.5,0,557.4,0,0,4180.9,1512.2,1523.8,1657.1,1708,1681.1,1536.1,1400.5,22.01,1.9,0.19,21.95,0.93,0.47,20.7,0.96,0.26,18.86,1.84,0.47,16.15,2.01,0.71,17.03,2.4,0.45,24.1,23.35,21.92,21.17,18.87,19.88,53802
2,20669.2,20475.4,205.2,714.2,30258,176.5,0,560.7,0,0,3388.6,1440.1,1463.8,1584.6,1656,1622.5,1486.8,1386.8,20.9,1.81,0.25,20.98,0.98,0.46,19.77,0.92,0.33,17.8,1.92,0.48,15.65,2.28,0.68,16.15,2.34,0.54,22.96,22.42,21.02,20.2,18.61,19.03,53802
3,19716,20226.7,205.6,553.3,30252.8,175.6,0,562.6,0,0,2919.3,1392.4,1430.4,1549.9,1622.9,1590.6,1469.2,1389.6,20.23,1.74,0.22,20.26,1.18,0.48,19.18,0.93,0.35,17.22,2,0.48,15.41,2.32,0.69,15.95,2.32,0.56,22.19,21.92,20.46,19.7,18.42,18.83,53802
4,19309.3,20349,218.5,626.4,30273.4,175,0,570.8,0,0,2462.7,1361.8,1423.8,1581,1648,1602.1,1490.5,1425.2,19.77,1.96,0.21,20.87,1.31,0.43,19.96,1.11,0.25,18.04,1.95,0.4,15.94,2.39,0.74,16.73,2.79,0.49,21.94,22.61,21.32,20.39,19.07,20.01,53802
5,19704.3,20920.7,232.8,753.1,30284.1,176.4,0,557.4,0,0,1966.1,1363.7,1450,1688,1755.5,1702.4,1596.6,1541,20.2,1.99,0.01,23.19,1.55,0.19,22.29,1.35,-0.06,20.82,1.86,0.26,18.66,2.53,0.5,19.6,3.13,0.63,22.2,24.93,23.58,22.94,21.69,23.36,53802
6,20336.3,20830.1,247.1,754,30286.3,173.6,0,561.6,0,0,2013.5,1398.5,1515.2,1897.8,1966.2,1907.6,1800.8,1747.6,20.65,2.39,0.05,29.58,2.41,0.24,27.19,1.53,-0.3,24.29,1.92,-0.16,23.61,2.59,0.21,24.44,2.73,0.79,23.09,32.23,28.42,26.05,26.41,27.96,53802
7,21485.4,21204.7,246.1,770.6,30276,174.2,0,558.2,0,0,2236,1445.1,1597.5,2033.8,2112.8,2038.4,1928.3,1872.9,22.03,2.34,0,29.21,2.13,0.1,29.25,1.41,-0.02,24.11,1.33,-0.03,23.69,1.73,0.27,23.99,2.12,0.85,24.37,31.44,30.64,25.41,25.69,26.96,53802
8,21991.8,23274.9,266.8,773.4,30304.2,173.3,0,564.4,40.3,0,1852.1,1495.9,1670.4,2072.1,2131.8,2062.8,1948.9,1894.1,23.42,2.23,0.15,29.33,2.21,0.12,29.16,1.34,0.04,24.22,1.58,0.02,24.28,1.63,0.24,24.64,2.72,0.89,25.8,31.66,30.54,25.82,26.15,28.25,53802
9,23851.7,25141.7,260.9,814.2,30285,173.7,0,564,94.4,0,1342.4,1587.7,1763.8,2105.5,2164.2,2114.6,2001.2,1945.6,27.4,2.77,0.22,31.66,2.11,0.15,31.39,1.22,-0.03,26.01,1.74,0.08,26.18,1.47,0.33,25.57,3.18,0.81,30.39,33.92,32.58,27.83,27.98,29.56,53802
10,26172.8,26833.4,280.9,659,30277.5,173.4,0,558.3,128.6,0,933.2,1651,1865.7,2140.4,2186.1,2179.3,2078.6,2008.8,32.08,2.61,-0.1,37.21,2.21,-0.13,33.33,1.4,0.08,28.76,2.02,-0.03,29.6,1.58,0.43,27.67,3.38,0.7,34.59,39.29,34.81,30.75,31.61,31.75,53802
11,27294.1,28480.2,290.8,840.1,30263.7,172.2,0,570.1,167.8,0,967.2,1684,1946.9,2150.3,2175.3,2260.1,2132,2043.3,36.93,1.56,-0.14,39.85,3.25,-0.25,36.48,1.3,0.16,30.23,2.23,0.09,31.3,1.69,0.54,29.26,3.53,0.67,38.35,42.85,37.94,32.55,33.53,33.46,53802
12,28301.2,28735.7,351.5,940.6,30235.8,174.9,0,556,213.7,0,1391.5,1718.5,2011.3,2175.6,2167.2,2322.2,2194.6,2102,41.31,1.77,-0.39,41.71,4.02,-0.37,40.49,1.52,-0.18,34.9,3.08,0.25,33.46,2.43,0.6,31.6,3.87,0.65,42.69,45.36,41.83,38.23,36.49,36.12,53802
13,29108.8,29161.9,483.2,1009.3,30245.6,172.9,0,562.5,248.5,0,1660.3,1728.7,2062.5,2207.1,2173.7,2395.9,2260.3,2141.2,42.99,2.3,-0.63,43.98,3.34,-0.45,42.35,2.27,-0.01,37.01,3.21,0.06,36.36,1.71,0.8,35.13,5.03,0.7,44.66,46.87,44.61,40.28,38.87,40.86,53802
14,28510.7,29481.3,1352.1,953.2,30077.1,221.3,0,566.8,135.6,0,1646,1725.4,2099.1,2199,2170.3,2391.8,2320.2,2163,47.34,2.18,-0.77,48.63,5.13,-0.8,44.47,3.38,-0.06,38.24,3.25,0.31,35.95,3.3,0.95,34.34,4.52,0.62,48.75,52.96,47.79,41.8,40.2,39.48,53802
15,28387.1,29902.2,2186.5,1082.3,29774.4,267.2,0,557.2,124,0,1314,1736.9,2132.3,2176.4,2146.4,2372.9,2353.8,2170.2,52.4,2.26,-1.02,50.52,5.23,-0.93,45.96,2.7,-0.01,39.8,3.06,0.43,36.43,3.4,0.97,34.62,4.74,0.6,53.64,54.82,48.65,43.29,40.8,39.96,53802
16,28508.2,30747.6,2683.7,1105.1,29593.7,267.1,0,570.3,85.7,0,976.5,1763.9,2150.1,2162.4,2134.3,2359.1,2387.4,2180.8,55.18,0.65,-1.09,51.95,7.28,-0.94,52.21,3.3,0.06,44.39,3.12,0.4,40.66,2.67,1.1,34.81,4.05,0.61,54.74,58.29,55.57,47.91,44.43,39.47,53802
17,29544.9,31172.8,3007.8,1218.9,29472.4,267.5,0,558.1,47,0,871.8,1795.4,2123.2,2122,2126.8,2346.5,2397.2,2195.1,52.27,2.57,-1.11,48.01,5.07,-0.88,47.78,2.91,0.11,40.86,3.01,0.33,38.82,2.54,0.93,33.17,4.26,0.56,53.73,52.2,50.8,44.2,42.29,37.99,53802
18,30254.1,31537.3,2746.3,1211.2,29450.1,265.5,0,537.9,0,0,965,1820.1,2083.2,2080.3,2116.9,2327.4,2359,2165.5,45.62,0.7,-0.65,41.79,3.16,-0.8,44.59,1.91,0.07,37.4,2.64,0.17,37.6,1.39,0.76,32.43,2.79,0.44,45.67,44.15,46.57,40.21,39.75,35.66,53802
19,30681.6,32882.4,2752.2,1206.2,29503.1,265.1,0,538.4,0,0,939.8,1885.9,2093.6,2088.5,2154.1,2333.1,2361.1,2158.7,49.29,0.75,-0.91,42.85,3.37,-0.98,52.39,2.06,-0.21,40.01,2.28,-0.15,39.84,0.56,0.63,34.9,2.5,0.32,49.13,45.24,54.24,42.14,41.03,37.72,53802
20,30457.7,32317,1638.2,1195.3,29395.9,264.6,0,530.3,0,0,1317.6,1880.3,2063.2,2064.8,2154.7,2308.8,2339,2138.5,41.84,1.73,-0.37,40.51,3.64,-0.46,41.38,2.29,0.04,35.8,3.24,0.22,37.47,1.23,0.71,30.25,2.94,0.57,43.2,43.69,43.71,39.26,39.41,33.76,53802
21,29926,30742.6,936.5,1006.2,29386.5,170.1,0,554.9,0,0,1649.3,1833.6,2000.3,1988.7,2067,2197.8,2208.1,2015.8,34.98,1.73,-0.29,32.15,2.09,-0.26,34.16,1.31,0.3,28.59,2.14,0.24,28.26,1.2,0.45,25.64,2.77,0.45,36.42,33.98,35.77,30.97,29.91,28.86,53802
22,28543,29289.3,234.6,783.4,29291.8,168.2,0,536,0,0,1491,1760.7,1865.9,1866.6,1908.4,2043.6,2038.5,1859.1,28.11,1.48,0.07,26.46,2.1,-0.03,27.42,1.11,0.22,23.23,1.77,0.2,22.4,1.46,0.32,21.75,2.17,0.54,29.66,28.53,28.75,25.2,24.18,24.46,53802
23,27063.4,27125.7,245.5,770.9,29187.5,169.6,0,537.8,0,0,1280.7,1691.4,1718.9,1734,1788.4,1894.5,1886.6,1719.4,24.48,2.15,-0.04,24.24,1.95,-0.12,23.94,0.95,0.05,21.67,1.68,0.13,21.49,0.88,0.42,20.81,2.05,0.61,26.59,26.07,24.94,23.48,22.79,23.47,53802
0,26039,26028.7,246.3,771.8,29160.9,167.5,0,532.4,0,0,1087.5,1616.8,1605.8,1613.5,1722.8,1784.2,1764.2,1612.7,22.16,1.71,-0.25,24.67,1.82,0.15,23.79,1.01,0.45,21.86,0.91,0.23,20.11,1.6,0.46,17.52,1.99,0.6,23.62,26.64,25.25,23,22.17,20.11,53401
1,23758.7,23898.5,244.8,771.8,29153.9,171.3,0,542.8,0,0,1177,1579.7,1512.2,1523.8,1657.1,1708,1681.1,1536.1,20.8,1.79,-0.15,22.01,1.9,0.19,21.95,0.93,0.47,20.7,0.96,0.26,18.86,1.84,0.47,16.15,2.01,0.71,22.44,24.1,23.35,21.92,21.17,18.87,53401
2,22698.8,22930.2,380.4,770.2,29233,173.1,0,533.9,0,0,1288.4,1571.2,1440.1,1463.8,1584.6,1656,1622.5,1486.8,19.81,1.96,-0.06,20.9,1.81,0.25,20.98,0.98,0.46,19.77,0.92,0.33,17.8,1.92,0.48,15.65,2.28,0.68,21.71,22.96,22.42,21.02,20.2,18.61,53401
3,22083.4,22781.5,373.1,752.7,29235.3,172.1,0,525,0,0,1332.6,1571.8,1392.4,1430.4,1549.9,1622.9,1590.6,1469.2,19.04,1.92,0.02,20.23,1.74,0.22,20.26,1.18,0.48,19.18,0.93,0.35,17.22,2,0.48,15.41,2.32,0.69,20.98,22.19,21.92,20.46,19.7,18.42,53401
4,22450.5,22797,369.2,769.4,29236.9,175,0,532.7,0,0,1337.5,1599.9,1361.8,1423.8,1581,1648,1602.1,1490.5,18.92,1.9,0.02,19.77,1.96,0.21,20.87,1.31,0.43,19.96,1.11,0.25,18.04,1.95,0.4,15.94,2.39,0.74,20.84,21.94,22.61,21.32,20.39,19.07,53401
5,23873.3,24185.5,306.8,753,29230.8,175,0,542.9,0,0,1348.9,1709,1363.7,1450,1688,1755.5,1702.4,1596.6,19.31,1.97,-0.01,20.2,1.99,0.01,23.19,1.55,0.19,22.29,1.35,-0.06,20.82,1.86,0.26,18.66,2.53,0.5,21.27,22.2,24.93,23.58,22.94,21.69,53401
6,26896.9,26131.4,280.7,758.7,29333.4,174.4,0,545.3,0,0,1263.6,1916.2,1398.5,1515.2,1897.8,1966.2,1907.6,1800.8,20.16,2.04,-0.1,20.65,2.39,0.05,29.58,2.41,0.24,27.19,1.53,-0.3,24.29,1.92,-0.16,23.61,2.59,0.21,22.1,23.09,32.23,28.42,26.05,26.41,53401
7,29505.3,29558.4,347.7,825.5,29332,174.1,0,508.1,0,0,1352.1,2068.9,1445.1,1597.5,2033.8,2112.8,2038.4,1928.3,21.07,2.02,-0.17,22.03,2.34,0,29.21,2.13,0.1,29.25,1.41,-0.02,24.11,1.33,-0.03,23.69,1.73,0.27,22.92,24.37,31.44,30.64,25.41,25.69,53401
8,30010.1,30883.1,373.4,827.4,29330.7,174,0,517.2,18,0,1288.1,2102.8,1495.9,1670.4,2072.1,2131.8,2062.8,1948.9,22.47,1.86,-0.12,23.42,2.23,0.15,29.33,2.21,0.12,29.16,1.34,0.04,24.22,1.58,0.02,24.28,1.63,0.24,24.21,25.8,31.66,30.54,25.82,26.15,53401
9,31387,32632.1,411,832.5,29328.3,171.9,0,512.9,97.4,0,1349.8,2148.9,1587.7,1763.8,2105.5,2164.2,2114.6,2001.2,24.58,2.1,-0.17,27.4,2.77,0.22,31.66,2.11,0.15,31.39,1.22,-0.03,26.01,1.74,0.08,26.18,1.47,0.33,26.51,30.39,33.92,32.58,27.83,27.98,53401
10,31140.8,34393.4,439.4,1048.9,29332.5,272.3,0,520.8,101.9,0,1350.9,2192,1651,1865.7,2140.4,2186.1,2179.3,2078.6,28.57,1.9,-0.22,32.08,2.61,-0.1,37.21,2.21,-0.13,33.33,1.4,0.08,28.76,2.02,-0.03,29.6,1.58,0.43,30.25,34.59,39.29,34.81,30.75,31.61,53401
11,31301.4,35892,1062.2,1153.7,29344.4,245.6,0,526.6,146.6,0,1371.6,2216.2,1684,1946.9,2150.3,2175.3,2260.1,2132,32.22,1.37,-0.4,36.93,1.56,-0.14,39.85,3.25,-0.25,36.48,1.3,0.16,30.23,2.23,0.09,31.3,1.69,0.54,33.19,38.35,42.85,37.94,32.55,33.53,53401
12,31244.6,36359,2064.8,1204.1,29312.6,244.2,0,512,156.5,0,1364.8,2231.9,1718.5,2011.3,2175.6,2167.2,2322.2,2194.6,34.86,0.57,-0.55,41.31,1.77,-0.39,41.71,4.02,-0.37,40.49,1.52,-0.18,34.9,3.08,0.25,33.46,2.43,0.6,34.88,42.69,45.36,41.83,38.23,36.49,53401
13,31129.9,37309.7,3046.9,1198.4,29305.4,727.6,0,522.1,162.5,0,1342.4,2230,1728.7,2062.5,2207.1,2173.7,2395.9,2260.3,39.66,0.83,-0.88,42.99,2.3,-0.63,43.98,3.34,-0.45,42.35,2.27,-0.01,37.01,3.21,0.06,36.36,1.71,0.8,39.61,44.66,46.87,44.61,40.28,38.87,53401
14,31763.8,38081.2,3331.9,1215.5,29382.9,762.5,0,524.5,200.5,0,1321.2,2221.4,1725.4,2099.1,2199,2170.3,2391.8,2320.2,41.24,0.86,-1.05,47.34,2.18,-0.77,48.63,5.13,-0.8,44.47,3.38,-0.06,38.24,3.25,0.31,35.95,3.3,0.95,41.05,48.75,52.96,47.79,41.8,40.2,53401
15,31923.8,39710.5,3627.3,1213.7,29388.2,765.5,0,529.9,226.5,0,1265.6,2197.1,1736.9,2132.3,2176.4,2146.4,2372.9,2353.8,43.77,0.17,-1.18,52.4,2.26,-1.02,50.52,5.23,-0.93,45.96,2.7,-0.01,39.8,3.06,0.43,36.43,3.4,0.97,42.76,53.64,54.82,48.65,43.29,40.8,53401
16,32151,40570.5,3657.8,1198.1,29418.1,992.9,0,539.6,174.8,0,1117.4,2191.9,1763.9,2150.1,2162.4,2134.3,2359.1,2387.4,47.62,0.1,-1.23,55.18,0.65,-1.09,51.95,7.28,-0.94,52.21,3.3,0.06,44.39,3.12,0.4,40.66,2.67,1.1,46.49,54.74,58.29,55.57,47.91,44.43,53401
17,32199.4,40219.8,3227.5,1197.5,29443.7,1298.2,0,509.5,98.5,0,1050.3,2201.7,1795.4,2123.2,2122,2126.8,2346.5,2397.2,46.87,-0.1,-1.2,52.27,2.57,-1.11,48.01,5.07,-0.88,47.78,2.91,0.11,40.86,3.01,0.33,38.82,2.54,0.93,45.57,53.73,52.2,50.8,44.2,42.29,53401
18,32452.2,39759.6,3355.3,1215.4,29497.6,1595.2,0,508.7,0,0,783.2,2197.5,1820.1,2083.2,2080.3,2116.9,2327.4,2359,46.41,-0.47,-1.14,45.62,0.7,-0.65,41.79,3.16,-0.8,44.59,1.91,0.07,37.4,2.64,0.17,37.6,1.39,0.76,44.8,45.67,44.15,46.57,40.21,39.75,53401
19,32590.5,41039.5,3436.9,1219.6,29519.8,1665.6,0,503.5,0,0,718.8,2234.7,1885.9,2093.6,2088.5,2154.1,2333.1,2361.1,54.9,-0.39,-1.77,49.29,0.75,-0.91,42.85,3.37,-0.98,52.39,2.06,-0.21,40.01,2.28,-0.15,39.84,0.56,0.63,52.74,49.13,45.24,54.24,42.14,41.03,53401
20,31623.5,39770.5,2934.5,1178.7,29558.9,1747.1,0,490.1,0,0,1013,2201.9,1880.3,2063.2,2064.8,2154.7,2308.8,2339,46.34,0.22,-0.9,41.84,1.73,-0.37,40.51,3.64,-0.46,41.38,2.29,0.04,35.8,3.24,0.22,37.47,1.23,0.71,45.66,43.2,43.69,43.71,39.26,39.41,53401
21,30364.9,38647.2,1161,1204.7,29569.5,696.8,0,521.8,0,0,1171.5,2076.5,1833.6,2000.3,1988.7,2067,2197.8,2208.1,39.22,0.93,-0.3,34.98,1.73,-0.29,32.15,2.09,-0.26,34.16,1.31,0.3,28.59,2.14,0.24,28.26,1.2,0.45,39.85,36.42,33.98,35.77,30.97,29.91,53401
22,29898.3,34695.1,647.9,1038.9,29568.2,270.5,0,508.1,0,0,1197.4,1921.4,1760.7,1865.9,1866.6,1908.4,2043.6,2038.5,28.78,1.06,-0.25,28.11,1.48,0.07,26.46,2.1,-0.03,27.42,1.11,0.22,23.23,1.77,0.2,22.4,1.46,0.32,29.59,29.66,28.53,28.75,25.2,24.18,53401
23,27389.5,31909.7,321.6,830.6,29595.4,222.7,0,503.6,0,0,1209.7,1780,1691.4,1718.9,1734,1788.4,1894.5,1886.6,24.08,1.65,-0.3,24.48,2.15,-0.04,24.24,1.95,-0.12,23.94,0.95,0.05,21.67,1.68,0.13,21.49,0.88,0.42,25.43,26.59,26.07,24.94,23.48,22.79,53401
0,26854.8,27775.1,322.4,655.1,29461.3,226.4,0,505.5,0,0,1352.8,1687.4,1616.8,1605.8,1613.5,1722.8,1784.2,1764.2,22.68,1.55,-0.32,22.16,1.71,-0.25,24.67,1.82,0.15,23.79,1.01,0.45,21.86,0.91,0.23,20.11,1.6,0.46,23.91,23.62,26.64,25.25,23,22.17,54048
1,27373.3,24935.9,319.3,662.4,29453.9,178,0,495.2,0,0,1149.6,1614.6,1579.7,1512.2,1523.8,1657.1,1708,1681.1,20.99,1.78,-0.14,20.8,1.79,-0.15,22.01,1.9,0.19,21.95,0.93,0.47,20.7,0.96,0.26,18.86,1.84,0.47,22.63,22.44,24.1,23.35,21.92,21.17,54048
2,25886.3,23153.9,300.1,489.9,29460.6,180.5,0,501.8,0,0,894.6,1564.9,1571.2,1440.1,1463.8,1584.6,1656,1622.5,20.55,1.73,-0.08,19.81,1.96,-0.06,20.9,1.81,0.25,20.98,0.98,0.46,19.77,0.92,0.33,17.8,1.92,0.48,22.2,21.71,22.96,22.42,21.02,20.2,54048
3,24866.2,22042.5,316.7,472.3,29471.9,180.5,0,504.9,0,0,918.1,1540.3,1571.8,1392.4,1430.4,1549.9,1622.9,1590.6,20.34,1.8,0.02,19.04,1.92,0.02,20.23,1.74,0.22,20.26,1.18,0.48,19.18,0.93,0.35,17.22,2,0.48,22.16,20.98,22.19,21.92,20.46,19.7,54048
